‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       370	-0.00983241	-0.00918817	0.00756203	-0.00016883	
       371	-0.00854393	0.00691779	0.00917263	-0.00049095	
       372	-0.00596698	-0.00564486	0.00885051	0.00240812	
       373	-0.00918817	0.00498508	0.01110534	0.00047541	
       374	0.03011038	0.02431223	0.00885051	-0.00242366	
       375	0.02560071	0.01239382	0.00659567	-0.00339002	
       376	0.01271594	0.00144177	0.00562932	-0.00532274	
       377	-0.01563055	-0.00242366	0.00401872	-0.00983241	
       378	-0.04268857	-0.00371214	-0.00403426	-0.01305360	
       378	-0.04365492	-0.01273148	-0.00306790	-0.01176512	
       379	-0.05267426	-0.00983241	-0.00757757	-0.00725545	
       380	-0.02529413	-0.01079876	-0.01176512	0.00144177	
       381	-0.01047664	-0.02400565	-0.00918817	0.00176389	
       382	0.00691779	-0.00339002	-0.01079876	0.00434084	
       383	-0.00371214	0.00498508	-0.01144300	0.01336018	
       384	-0.02046234	0.00369660	-0.00725545	0.01561501	
       385	-0.00274578	0.04943754	-0.00693333	0.01078323	
       386	0.00788415	0.05137025	-0.00596698	0.01786985	
       387	0.02334588	0.04847118	0.00015329	0.01754773	
       388	0.00949475	0.04718270	0.00305236	0.00788415	
       389	-0.00371214	0.02495647	0.00756203	0.00595144	
       390	0.00079753	0.01271594	0.00917263	0.00176389	
       391	0.05716840	-0.00339002	0.01174958	-0.00532274	
       392	0.06296654	-0.01563055	0.01207170	-0.00177943	
       393	0.05298085	-0.00983241	0.01239382	0.00111965	
       394	0.03300945	-0.00983241	0.00788415	-0.00113519	
       395	0.00659567	0.01593713	0.00498508	-0.00145731	
       396	-0.00467850	0.02141316	0.00273024	-0.00145731	
       397	-0.00918817	0.00917263	-0.00145731	-0.00274578	
       398	-0.00274578	0.02044680	-0.00306790	-0.00274578	
       399	-0.01015453	0.03719700	-0.00822181	-0.00371214	
       400	-0.02175082	0.01142746	-0.01176512	-0.00757757	
       401	-0.03205863	-0.00500062	-0.00886605	-0.00467850	
       402	-0.04333281	-0.03495771	-0.01047664	-0.00532274	
       403	-0.02239506	-0.05074155	-0.01240936	-0.00725545	
       404	0.00401872	-0.05106367	-0.01176512	-0.00403426	
       405	0.03139886	-0.01563055	-0.00661121	-0.00403426	
       406	0.03429793	0.02141316	-0.00274578	-0.00435638	
       407	0.03075462	-0.00049095	-0.00049095	-0.00757757	
       408	0.01625925	0.00240812	0.00498508	-0.00564486	
       409	-0.01176512	0.00917263	0.00723991	0.00047541	
       410	-0.01981810	0.00498508	0.00917263	0.00015329	
       411	-0.02078446	0.00434084	0.00852839	0.00240812	
       412	-0.03463559	0.00079753	0.01207170	0.00047541	
       413	-0.00274578	-0.00467850	0.00981687	-0.00306790	
       414	-0.00628909	-0.00854393	0.00562932	-0.00435638	
       415	-0.01273148	-0.00532274	0.00691779	-0.00242366	
       416	-0.00983241	-0.00403426	0.00273024	0.00337448	
       417	-0.00951029	-0.00242366	-0.00049095	0.00434084	
       418	-0.00049095	-0.00403426	-0.00500062	0.00369660	
       419	0.00305236	-0.00918817	-0.00983241	0.00369660	
       420	0.00047541	-0.01015453	-0.01112088	0.00176389	
       421	-0.00242366	-0.02142870	-0.01305360	-0.00306790	
       422	0.00240812	-0.03656830	-0.01273148	-0.00306790	
       423	0.01851409	-0.02303929	-0.01466419	0.00111965	
       424	0.02914402	-0.01208724	-0.00854393	-0.00113519	
       425	0.01046111	-0.00918817	-0.00435638	-0.00049095	
       426	0.00015329	-0.00789969	-0.00403426	-0.00210154	
       427	-0.00049095	-0.00757757	-0.00016883	0.00337448	
       428	-0.00757757	-0.00757757	0.00434084	0.00337448	
       429	-0.00854393	-0.00081307	0.00659567	0.00434084	
       430	-0.01047664	0.00434084	0.01046111	0.00015329	
       431	-0.01627479	0.00723991	0.00981687	-0.00339002	
       432	-0.01015453	0.01271594	0.01078323	-0.00371214	
       433	-0.00886605	0.00337448	0.00949475	0.00015329	
       434	-0.00274578	-0.00210154	0.00852839	-0.00242366	
       435	0.00756203	-0.01885174	0.00434084	-0.00113519	
       436	0.01432654	-0.02110658	0.00466296	-0.00081307	
       437	0.01690349	-0.01273148	-0.00016883	-0.00016883	
       438	-0.00242366	-0.00177943	-0.00274578	-0.00242366	
       439	0.00015329	0.00047541	-0.00532274	0.00047541	
       440	0.00466296	-0.00306790	-0.01047664	0.00434084	
       441	0.00562932	0.00305236	-0.01079876	0.00240812	
       442	0.00015329	0.00852839	-0.01369784	-0.00177943	
       443	0.00466296	0.00176389	-0.01144300	-0.00016883	
       444	-0.00274578	0.00240812	-0.00951029	0.00498508	
       445	-0.01337572	0.01078323	-0.00596698	0.00111965	
       446	-0.01917386	0.01529289	-0.00306790	-0.00113519	
       447	-0.01047664	0.01336018	0.00401872	-0.00242366	
       448	-0.00628909	0.00691779	0.00498508	-0.00403426	
       449	-0.00177943	0.00208601	0.00723991	-0.00274578	
       450	-0.00339002	0.00498508	0.00981687	-0.00371214	
       451	-0.00467850	0.00659567	0.01078323	0.00015329	
       452	-0.00467850	0.00723991	0.01110534	-0.00339002	
       453	-0.00177943	0.00756203	0.01207170	-0.00500062	
       454	-0.00177943	0.00691779	0.00723991	-0.00306790	
       455	-0.00210154	0.00401872	0.00627356	-0.00274578	
